symbol,code,name,exchange,board,list_date,total_mv,float_mv,total_mv_bil,float_mv_bil,f2,f3,f6,f8
600000.SH,600000,浦发银行,SH,主板,1999-11-10,424682342153.0,424682342153.0,4246.82342153,4246.82342153,12.99,-2.48,1053892620.0,0.25
600004.SH,600004,白云机场,SH,主板,2003-04-28,22696828334.0,22696828334.0,226.96828334,226.96828334,9.59,1.27,153203552.0,0.68
600006.SH,600006,东风股份,SH,主板,1999-07-27,15020000000.0,15020000000.0,150.2,150.2,7.51,1.35,169466409.0,1.13
600007.SH,600007,中国国贸,SH,主板,1999-03-12,20679510423.0,20679510423.0,206.79510423,206.79510423,20.53,0.54,42318389.0,0.21
600008.SH,600008,首创环保,SH,主板,2000-04-27,24297355141.0,24297355141.0,242.97355141,242.97355141,3.31,0.0,296941998.0,1.23
600009.SH,600009,上海机场,SH,主板,1998-02-18,78212968516.0,64314565156.0,782.12968516,643.14565156,31.43,0.35,265371774.0,0.41
600010.SH,600010,包钢股份,SH,主板,2001-03-09,120467727466.0,83472923443.0,1204.67727466,834.72923443,2.66,-1.85,4127225071.0,4.94
600011.SH,600011,华能国际,SH,主板,2001-12-06,117578719259.0,82372847293.0,1175.78719259,823.72847293,7.49,0.13,578232361.0,0.71
600012.SH,600012,皖通高速,SH,主板,2003-01-07,25235902201.0,17215912000.0,252.35902201,172.15912,14.77,-0.61,169152507.0,0.99
600015.SH,600015,华夏银行,SH,主板,2003-09-12,108858110721.0,105248612044.0,1088.58110721,1052.48612044,6.84,0.59,635946118.0,0.61
600016.SH,600016,民生银行,SH,主板,2000-12-19,177756619118.0,143976220245.0,1777.56619118,1439.76220245,4.06,1.25,1636516250.0,1.15
600017.SH,600017,日照港,SH,主板,2006-10-17,9780579364.0,9780579364.0,97.80579364,97.80579364,3.18,0.32,84805332.0,0.87
600018.SH,600018,上港集团,SH,主板,2006-10-26,129211577204.0,128840906535.0,1292.11577204,1288.40906535,5.55,-0.36,186000043.0,0.14
600019.SH,600019,宝钢股份,SH,主板,2000-12-12,155959726803.0,155959726803.0,1559.59726803,1559.59726803,7.16,0.14,452150452.0,0.29
600020.SH,600020,中原高速,SH,主板,2003-08-08,9933383497.0,9933383497.0,99.33383497,99.33383497,4.42,0.23,61159896.0,0.62
600021.SH,600021,上海电力,SH,主板,2003-10-29,62404622043.0,62404622043.0,624.04622043,624.04622043,22.12,-6.07,3071346711.0,4.86
600022.SH,600022,山东钢铁,SH,主板,2004-06-29,17439124773.0,17439124773.0,174.39124773,174.39124773,1.63,1.88,217296816.0,1.25
