date,period,field,value,symbol
2007-04-28,2007-03-31,roeavg,0.090219,sh600519
2007-08-17,2007-06-30,roeavg,0.13933,sh600519
2007-10-23,2007-09-30,roeavg,0.245863,sh600519
2008-03-13,2007-12-31,roeavg,0.395989,sh600519
2008-04-22,2008-03-31,roeavg,0.100724,sh600519
2008-08-28,2008-06-30,roeavg,0.249968,sh600519
2008-10-27,2008-09-30,roeavg,0.33412,sh600519
2009-03-25,2008-12-31,roeavg,0.390117,sh600519
2009-04-21,2009-03-31,roeavg,0.102675,sh600519
2009-08-07,2009-06-30,roeavg,0.230712,sh600519
2009-10-24,2009-09-30,roeavg,0.30073,sh600519
2010-04-02,2009-12-31,roeavg,0.335461,sh600519
2010-04-26,2010-03-31,roeavg,0.083825,sh600519
2010-08-12,2010-06-30,roeavg,0.200545,sh600519
2010-10-29,2010-09-30,roeavg,0.260986,sh600519
2011-03-21,2010-12-31,roeavg,0.307393,sh600519
2011-04-23,2011-03-31,roeavg,0.097411,sh600519
2011-08-31,2011-06-30,roeavg,0.248251,sh600519
2011-10-18,2011-09-30,roeavg,0.318919,sh600519
2012-04-11,2011-12-31,roeavg,0.403925,sh600519
2012-04-26,2012-03-31,roeavg,0.112148,sh600519
2012-08-10,2012-06-30,roeavg,0.264847,sh600519
2012-10-26,2012-09-30,roeavg,0.370487,sh600519
2013-03-29,2012-12-31,roeavg,0.450047,sh600519
2013-04-18,2013-03-31,roeavg,0.099958,sh600519
2013-08-31,2013-06-30,roeavg,0.210442,sh600519
2013-10-16,2013-09-30,roeavg,0.304543,sh600519
2014-03-25,2013-12-31,roeavg,0.394328,sh600519
2014-04-25,2014-03-31,roeavg,0.083217,sh600519
2014-08-29,2014-06-30,roeavg,0.164503,sh600519
2014-10-30,2014-09-30,roeavg,0.234085,sh600519
2015-04-21,2014-12-31,roeavg,0.319612,sh600519
2015-04-21,2015-03-31,roeavg,0.078494,sh600519
2015-08-28,2015-06-30,roeavg,0.137504,sh600519
2015-10-23,2015-09-30,roeavg,0.201709,sh600519
2016-03-24,2015-12-31,roeavg,0.264205,sh600519
2016-04-21,2016-03-31,roeavg,0.073664,sh600519
2016-08-27,2016-06-30,roeavg,0.136576,sh600519
2016-10-29,2016-09-30,roeavg,0.188062,sh600519
2017-04-15,2016-12-31,roeavg,0.244385,sh600519
2017-04-25,2017-03-31,roeavg,0.080614,sh600519
2017-07-28,2017-06-30,roeavg,0.15151,sh600519
2017-10-26,2017-09-30,roeavg,0.254166,sh600519
2018-03-28,2017-12-31,roeavg,0.329542,sh600519
2018-04-28,2018-03-31,roeavg,0.088887,sh600519
2018-08-02,2018-06-30,roeavg,0.170563,sh600519
2018-10-29,2018-09-30,roeavg,0.25522,sh600519
2019-03-29,2018-12-31,roeavg,0.344644,sh600519
2019-04-25,2019-03-31,roeavg,0.094737,sh600519
2019-07-18,2019-06-30,roeavg,0.175322,sh600519
2019-10-16,2019-09-30,roeavg,0.255819,sh600519
2007-04-28,2007-03-31,npmargin,0.353655,sh600519
2007-08-17,2007-06-30,npmargin,0.340022,sh600519
2007-10-23,2007-09-30,npmargin,0.374401,sh600519
2008-03-13,2007-12-31,npmargin,0.409821,sh600519
2008-04-22,2008-03-31,npmargin,0.46002,sh600519
2008-08-28,2008-06-30,npmargin,0.509109,sh600519
2008-10-27,2008-09-30,npmargin,0.509395,sh600519
2009-03-25,2008-12-31,npmargin,0.48543,sh600519
2009-04-21,2009-03-31,npmargin,0.508984,sh600519
2009-08-07,2009-06-30,npmargin,0.528099,sh600519
2009-10-24,2009-09-30,npmargin,0.509759,sh600519
2010-04-02,2009-12-31,npmargin,0.470826,sh600519
2010-04-26,2010-03-31,npmargin,0.442245,sh600519
2010-08-12,2010-06-30,npmargin,0.497105,sh600519
2010-10-29,2010-09-30,npmargin,0.47291,sh600519
2011-03-21,2010-12-31,npmargin,0.459007,sh600519
2011-04-23,2011-03-31,npmargin,0.471804,sh600519
2011-08-31,2011-06-30,npmargin,0.525789,sh600519
2011-10-18,2011-09-30,npmargin,0.50804,sh600519
2012-04-11,2011-12-31,npmargin,0.502671,sh600519
2012-04-26,2012-03-31,npmargin,0.520197,sh600519
2012-08-10,2012-06-30,npmargin,0.554033,sh600519
2012-10-26,2012-09-30,npmargin,0.54878,sh600519
2013-03-29,2012-12-31,npmargin,0.529513,sh600519
2013-04-18,2013-03-31,npmargin,0.526581,sh600519
2013-08-31,2013-06-30,npmargin,0.539424,sh600519
2013-10-16,2013-09-30,npmargin,0.531652,sh600519
2014-03-25,2013-12-31,npmargin,0.516299,sh600519
2014-04-25,2014-03-31,npmargin,0.530608,sh600519
2014-08-29,2014-06-30,npmargin,0.535172,sh600519
2014-10-30,2014-09-30,npmargin,0.523786,sh600519
2015-04-21,2014-12-31,npmargin,0.515279,sh600519
2015-04-21,2015-03-31,npmargin,0.541687,sh600519
2015-08-28,2015-06-30,npmargin,0.530116,sh600519
2015-10-23,2015-09-30,npmargin,0.523865,sh600519
2016-03-24,2015-12-31,npmargin,0.503834,sh600519
2016-04-21,2016-03-31,npmargin,0.521795,sh600519
2016-08-27,2016-06-30,npmargin,0.51599,sh600519
