date,period,field,value,symbol
2007-04-28,2007-03-31,roeavg,-0.011842,sz000725
2007-08-28,2007-06-30,roeavg,0.019984,sz000725
2007-10-29,2007-09-30,roeavg,0.125474,sz000725
2008-04-01,2007-12-31,roeavg,0.163351,sz000725
2008-04-28,2008-03-31,roeavg,0.064859,sz000725
2008-08-27,2008-06-30,roeavg,0.105183,sz000725
2008-10-30,2008-09-30,roeavg,0.018945,sz000725
2009-04-21,2008-12-31,roeavg,-0.153715,sz000725
2009-04-29,2009-03-31,roeavg,-0.071656,sz000725
2009-08-25,2009-06-30,roeavg,-0.065331,sz000725
2009-10-29,2009-09-30,roeavg,-0.065929,sz000725
2010-04-20,2009-12-31,roeavg,0.004146,sz000725
2010-04-29,2010-03-31,roeavg,-0.016599,sz000725
2010-08-28,2010-06-30,roeavg,-0.030483,sz000725
2010-10-29,2010-09-30,roeavg,-0.056439,sz000725
2011-04-26,2010-12-31,roeavg,-0.093234,sz000725
2011-04-27,2011-03-31,roeavg,-0.027414,sz000725
2011-08-30,2011-06-30,roeavg,-0.049944,sz000725
2011-10-29,2011-09-30,roeavg,-0.089859,sz000725
2012-04-27,2011-12-31,roeavg,0.022195,sz000725
2012-04-27,2012-03-31,roeavg,-0.019525,sz000725
2012-08-29,2012-06-30,roeavg,-0.031226,sz000725
2012-10-30,2012-09-30,roeavg,-0.025136,sz000725
2013-04-23,2012-12-31,roeavg,0.01003,sz000725
2013-04-25,2013-03-31,roeavg,0.011021,sz000725
2013-08-20,2013-06-30,roeavg,0.032646,sz000725
2013-10-29,2013-09-30,roeavg,0.051155,sz000725
2014-04-22,2013-12-31,roeavg,0.086938,sz000725
2014-04-25,2014-03-31,roeavg,0.011511,sz000725
2014-08-30,2014-06-30,roeavg,0.020303,sz000725
2014-10-30,2014-09-30,roeavg,0.035741,sz000725
2015-04-21,2014-12-31,roeavg,0.04908,sz000725
2015-04-23,2015-03-31,roeavg,0.012764,sz000725
2015-08-25,2015-06-30,roeavg,0.025298,sz000725
2015-10-27,2015-09-30,roeavg,0.025846,sz000725
2016-04-26,2015-12-31,roeavg,0.0213,sz000725
2016-04-26,2016-03-31,roeavg,0.001397,sz000725
2016-08-30,2016-06-30,roeavg,-0.006704,sz000725
2016-10-25,2016-09-30,roeavg,0.001819,sz000725
2017-04-25,2016-12-31,roeavg,0.024107,sz000725
2017-04-25,2017-03-31,roeavg,0.030224,sz000725
2017-08-29,2017-06-30,roeavg,0.053611,sz000725
2017-10-31,2017-09-30,roeavg,0.079737,sz000725
2018-04-24,2017-12-31,roeavg,0.092565,sz000725
2018-04-24,2018-03-31,roeavg,0.023552,sz000725
2018-08-28,2018-06-30,roeavg,0.034946,sz000725
2018-10-30,2018-09-30,roeavg,0.039607,sz000725
2019-03-26,2018-12-31,roeavg,0.040255,sz000725
2019-04-30,2019-03-31,roeavg,0.012164,sz000725
2019-08-27,2019-06-30,roeavg,0.019358,sz000725
2019-10-31,2019-09-30,roeavg,0.02146,sz000725
2007-04-28,2007-03-31,npmargin,-0.054859,sz000725
2007-08-28,2007-06-30,npmargin,0.007744,sz000725
2007-10-29,2007-09-30,npmargin,0.07101,sz000725
2008-04-01,2007-12-31,npmargin,0.080311,sz000725
2008-04-28,2008-03-31,npmargin,0.129384,sz000725
2008-08-27,2008-06-30,npmargin,0.113945,sz000725
2008-10-30,2008-09-30,npmargin,0.014206,sz000725
2009-04-21,2008-12-31,npmargin,-0.119603,sz000725
2009-04-29,2009-03-31,npmargin,-0.717184,sz000725
2009-08-25,2009-06-30,npmargin,-0.399949,sz000725
2009-10-29,2009-09-30,npmargin,-0.216635,sz000725
2010-04-20,2009-12-31,npmargin,-0.010444,sz000725
2010-04-29,2010-03-31,npmargin,-0.175327,sz000725
2010-08-28,2010-06-30,npmargin,-0.147543,sz000725
2010-10-29,2010-09-30,npmargin,-0.185048,sz000725
2011-04-26,2010-12-31,npmargin,-0.282611,sz000725
2011-04-27,2011-03-31,npmargin,-0.376136,sz000725
2011-08-30,2011-06-30,npmargin,-0.268528,sz000725
2011-10-29,2011-09-30,npmargin,-0.271495,sz000725
2012-04-27,2011-12-31,npmargin,0.054443,sz000725
2012-04-27,2012-03-31,npmargin,-0.17131,sz000725
2012-08-29,2012-06-30,npmargin,-0.112095,sz000725
2012-10-30,2012-09-30,npmargin,-0.053911,sz000725
2013-04-23,2012-12-31,npmargin,0.007155,sz000725
2013-04-25,2013-03-31,npmargin,0.049652,sz000725
2013-08-20,2013-06-30,npmargin,0.071691,sz000725
2013-10-29,2013-09-30,npmargin,0.073164,sz000725
2014-04-22,2013-12-31,npmargin,0.088,sz000725
2014-04-25,2014-03-31,npmargin,0.085234,sz000725
2014-08-30,2014-06-30,npmargin,0.072171,sz000725
2014-10-30,2014-09-30,npmargin,0.078848,sz000725
2015-04-21,2014-12-31,npmargin,0.073769,sz000725
2015-04-23,2015-03-31,npmargin,0.08437,sz000725
2015-08-25,2015-06-30,npmargin,0.085028,sz000725
2015-10-27,2015-09-30,npmargin,0.054607,sz000725
2016-04-26,2015-12-31,npmargin,0.03369,sz000725
2016-04-26,2016-03-31,npmargin,0.008328,sz000725
2016-08-30,2016-06-30,npmargin,-0.022213,sz000725
2016-10-25,2016-09-30,npmargin,0.003449,sz000725
2017-04-25,2016-12-31,npmargin,0.029685,sz000725
2017-04-25,2017-03-31,npmargin,0.119189,sz000725
2017-08-29,2017-06-30,npmargin,0.103005,sz000725
2017-10-31,2017-09-30,npmargin,0.097885,sz000725
2018-04-24,2017-12-31,npmargin,0.083799,sz000725
2018-04-24,2018-03-31,npmargin,0.089806,sz000725
2018-08-28,2018-06-30,npmargin,0.065076,sz000725
2018-10-30,2018-09-30,npmargin,0.042759,sz000725
2019-03-26,2018-12-31,npmargin,0.029656,sz000725
2019-04-30,2019-03-31,npmargin,0.031823,sz000725
2019-08-27,2019-06-30,npmargin,0.020496,sz000725
2019-10-31,2019-09-30,npmargin,0.003864,sz000725
2007-04-28,2007-03-31,gpmargin,-0.067694,sz000725
2007-08-28,2007-06-30,gpmargin,0.027566,sz000725
2007-10-29,2007-09-30,gpmargin,0.109881,sz000725
2008-04-01,2007-12-31,gpmargin,0.170681,sz000725
2008-04-28,2008-03-31,gpmargin,0.203169,sz000725
2008-08-27,2008-06-30,gpmargin,0.189738,sz000725
2008-10-30,2008-09-30,gpmargin,0.128927,sz000725
2009-04-21,2008-12-31,gpmargin,0.078293,sz000725
2009-04-29,2009-03-31,gpmargin,-0.199118,sz000725
2009-08-25,2009-06-30,gpmargin,-0.129815,sz000725
2009-10-29,2009-09-30,gpmargin,-0.031899,sz000725
2010-04-20,2009-12-31,gpmargin,-0.004393,sz000725
2010-04-29,2010-03-31,gpmargin,0.007437,sz000725
2010-08-28,2010-06-30,gpmargin,0.014617,sz000725
2010-10-29,2010-09-30,gpmargin,-0.007847,sz000725
2011-04-26,2010-12-31,gpmargin,-0.032754,sz000725
2011-04-27,2011-03-31,gpmargin,-0.129832,sz000725
2011-08-30,2011-06-30,gpmargin,-0.081919,sz000725
2011-10-29,2011-09-30,gpmargin,-0.089665,sz000725
2012-04-27,2011-12-31,gpmargin,-0.054924,sz000725
2012-04-27,2012-03-31,gpmargin,-0.009677,sz000725
2012-08-29,2012-06-30,gpmargin,0.011082,sz000725
2012-10-30,2012-09-30,gpmargin,0.050484,sz000725
2013-04-23,2012-12-31,gpmargin,0.11568,sz000725
2013-04-25,2013-03-31,gpmargin,0.210824,sz000725
2013-08-20,2013-06-30,gpmargin,0.233353,sz000725
2013-10-29,2013-09-30,gpmargin,0.242094,sz000725
2014-04-22,2013-12-31,gpmargin,0.238953,sz000725
2014-04-25,2014-03-31,gpmargin,0.198792,sz000725
2014-08-30,2014-06-30,gpmargin,0.216162,sz000725
2014-10-30,2014-09-30,gpmargin,0.223223,sz000725
2015-04-21,2014-12-31,gpmargin,0.225754,sz000725
2015-04-23,2015-03-31,gpmargin,0.248901,sz000725
2015-08-25,2015-06-30,gpmargin,0.237746,sz000725
2015-10-27,2015-09-30,gpmargin,0.220595,sz000725
2016-04-26,2015-12-31,gpmargin,0.202959,sz000725
2016-04-26,2016-03-31,gpmargin,0.063004,sz000725
2016-08-30,2016-06-30,gpmargin,0.093058,sz000725
2016-10-25,2016-09-30,gpmargin,0.131425,sz000725
2017-04-25,2016-12-31,gpmargin,0.178675,sz000725
2017-04-25,2017-03-31,gpmargin,0.286316,sz000725
2017-08-29,2017-06-30,gpmargin,0.277318,sz000725
2017-10-31,2017-09-30,gpmargin,0.26125,sz000725
2018-04-24,2017-12-31,gpmargin,0.250724,sz000725
2018-04-24,2018-03-31,gpmargin,0.207693,sz000725
2018-08-28,2018-06-30,gpmargin,0.191594,sz000725
2018-10-30,2018-09-30,gpmargin,0.188217,sz000725
2019-03-26,2018-12-31,gpmargin,0.203922,sz000725
2019-04-30,2019-03-31,gpmargin,0.176595,sz000725
2019-08-27,2019-06-30,gpmargin,0.167642,sz000725
2019-10-31,2019-09-30,gpmargin,0.149927,sz000725
2007-04-28,2007-03-31,netprofit,-118101845.0,sz000725
2007-08-28,2007-06-30,netprofit,36312079.0,sz000725
2007-10-29,2007-09-30,netprofit,562830280.0,sz000725
2008-04-01,2007-12-31,netprofit,897106952.0,sz000725
2008-04-28,2008-03-31,netprofit,379964211.0,sz000725
2008-08-27,2008-06-30,netprofit,627370921.0,sz000725
2008-10-30,2008-09-30,netprofit,103304631.0,sz000725
2009-04-21,2008-12-31,netprofit,-996771096.0,sz000725
2009-04-29,2009-03-31,netprofit,-517014063.0,sz000725
2009-08-25,2009-06-30,netprofit,-919127940.0,sz000725
2009-10-29,2009-09-30,netprofit,-941173925.0,sz000725
2010-04-20,2009-12-31,netprofit,-65263893.0,sz000725
2010-04-29,2010-03-31,netprofit,-332005970.0,sz000725
2010-08-28,2010-06-30,netprofit,-617679176.0,sz000725
2010-10-29,2010-09-30,netprofit,-1147678976.0,sz000725
2011-04-26,2010-12-31,netprofit,-2268032806.0,sz000725
2011-04-27,2011-03-31,netprofit,-740854006.0,sz000725
2011-08-30,2011-06-30,netprofit,-1326538316.0,sz000725
2011-10-29,2011-09-30,netprofit,-2311681216.0,sz000725
2012-04-27,2011-12-31,netprofit,693677317.0,sz000725
2012-04-27,2012-03-31,netprofit,-710533688.0,sz000725
2012-08-29,2012-06-30,netprofit,-1077106680.0,sz000725
2012-10-30,2012-09-30,netprofit,-923113036.0,sz000725
2013-04-23,2012-12-31,netprofit,184383068.0,sz000725
2013-04-25,2013-03-31,netprofit,400128827.0,sz000725
2013-08-20,2013-06-30,netprofit,1165280769.0,sz000725
2013-10-29,2013-09-30,netprofit,1812545397.0,sz000725
2014-04-22,2013-12-31,netprofit,2972129191.0,sz000725
2014-04-25,2014-03-31,netprofit,689686375.0,sz000725
2014-08-30,2014-06-30,netprofit,1162898767.0,sz000725
2014-10-30,2014-09-30,netprofit,1993913172.0,sz000725
2015-04-21,2014-12-31,netprofit,2715913970.0,sz000725
2015-04-23,2015-03-31,netprofit,977243916.0,sz000725
2015-08-25,2015-06-30,netprofit,1953153768.0,sz000725
2015-10-27,2015-09-30,netprofit,1988794041.0,sz000725
2016-04-26,2015-12-31,netprofit,1638109932.0,sz000725
2016-04-26,2016-03-31,netprofit,102420165.0,sz000725
2016-08-30,2016-06-30,netprofit,-587503568.0,sz000725
2016-10-25,2016-09-30,netprofit,158119196.0,sz000725
2017-04-25,2016-12-31,netprofit,2045170759.0,sz000725
2017-04-25,2017-03-31,netprofit,2604866868.0,sz000725
2017-08-29,2017-06-30,netprofit,4594562005.0,sz000725
2017-10-31,2017-09-30,netprofit,6794028374.0,sz000725
2018-04-24,2017-12-31,netprofit,7860411559.0,sz000725
2018-04-24,2018-03-31,netprofit,1936821964.0,sz000725
2018-08-28,2018-06-30,netprofit,2829093457.0,sz000725
2018-10-30,2018-09-30,netprofit,2970218780.0,sz000725
2019-03-26,2018-12-31,netprofit,2879874073.0,sz000725
2019-04-30,2019-03-31,netprofit,841859716.0,sz000725
2019-08-27,2019-06-30,netprofit,1128080632.0,sz000725
2019-10-31,2019-09-30,netprofit,331209894.0,sz000725
2007-04-28,2007-03-31,epsttm,-0.470148,sz000725
2007-08-28,2007-06-30,epsttm,0.001965,sz000725
2007-10-29,2007-09-30,epsttm,0.456094,sz000725
2008-04-01,2007-12-31,epsttm,0.240616,sz000725
2008-04-28,2008-03-31,epsttm,0.448381,sz000725
2008-08-27,2008-06-30,epsttm,0.47672,sz000725
2008-10-30,2008-09-30,epsttm,0.168223,sz000725
2009-04-21,2008-12-31,epsttm,-0.245979,sz000725
2009-04-29,2009-03-31,epsttm,-0.464134,sz000725
2009-08-25,2009-06-30,epsttm,-0.248937,sz000725
2009-10-29,2009-09-30,epsttm,-0.201935,sz000725
2010-04-20,2009-12-31,epsttm,0.005998,sz000725
2010-04-29,2010-03-31,epsttm,0.01975,sz000725
2010-08-28,2010-06-30,epsttm,0.031197,sz000725
2010-10-29,2010-09-30,epsttm,-0.021992,sz000725
2011-04-26,2010-12-31,epsttm,-0.177833,sz000725
2011-04-27,2011-03-31,epsttm,-0.211373,sz000725
2011-08-30,2011-06-30,epsttm,-0.198098,sz000725
2011-10-29,2011-09-30,epsttm,-0.233558,sz000725
2012-04-27,2011-12-31,epsttm,0.041479,sz000725
2012-04-27,2012-03-31,epsttm,0.054808,sz000725
2012-08-29,2012-06-30,epsttm,0.073177,sz000725
2012-10-30,2012-09-30,epsttm,0.152992,sz000725
2013-04-23,2012-12-31,epsttm,0.019091,sz000725
2013-04-25,2013-03-31,epsttm,0.076885,sz000725
2013-08-20,2013-06-30,epsttm,0.140835,sz000725
2013-10-29,2013-09-30,epsttm,0.166588,sz000725
2014-04-22,2013-12-31,epsttm,0.174046,sz000725
2014-04-25,2014-03-31,epsttm,0.196288,sz000725
2014-08-30,2014-06-30,epsttm,0.071854,sz000725
2014-10-30,2014-09-30,epsttm,0.080731,sz000725
2015-04-21,2014-12-31,epsttm,0.072603,sz000725
2015-04-23,2015-03-31,epsttm,0.083668,sz000725
2015-08-25,2015-06-30,epsttm,0.098376,sz000725
2015-10-27,2015-09-30,epsttm,0.076801,sz000725
2016-04-26,2015-12-31,epsttm,0.046547,sz000725
2016-04-26,2016-03-31,epsttm,0.021803,sz000725
2016-08-30,2016-06-30,epsttm,-0.02365,sz000725
2016-10-25,2016-09-30,epsttm,-0.006129,sz000725
2017-04-25,2016-12-31,epsttm,0.053554,sz000725
2017-04-25,2017-03-31,epsttm,0.119115,sz000725
2017-08-29,2017-06-30,epsttm,0.190642,sz000725
2017-10-31,2017-09-30,epsttm,0.236148,sz000725
2018-04-24,2017-12-31,epsttm,0.217472,sz000725
2018-04-24,2018-03-31,epsttm,0.206141,sz000725
2018-08-28,2018-06-30,epsttm,0.179327,sz000725
2018-10-30,2018-09-30,epsttm,0.128485,sz000725
2019-03-26,2018-12-31,epsttm,0.098715,sz000725
2019-04-30,2019-03-31,epsttm,0.070929,sz000725
2019-08-27,2019-06-30,epsttm,0.061163,sz000725
2019-10-31,2019-09-30,epsttm,0.054839,sz000725
2007-04-28,2007-03-31,nrturnratio,1.8238,sz000725
2007-08-28,2007-06-30,nrturnratio,3.435766,sz000725
2007-10-29,2007-09-30,nrturnratio,5.966535,sz000725
2008-04-01,2007-12-31,nrturnratio,7.704117,sz000725
2008-04-28,2008-03-31,nrturnratio,1.710481,sz000725
2008-08-27,2008-06-30,nrturnratio,3.242396,sz000725
2008-10-30,2008-09-30,nrturnratio,5.190201,sz000725
2009-04-21,2008-12-31,nrturnratio,7.312044,sz000725
2009-04-29,2009-03-31,nrturnratio,1.412921,sz000725
2009-08-25,2009-06-30,nrturnratio,3.29313,sz000725
2009-10-29,2009-09-30,nrturnratio,5.751619,sz000725
2010-04-20,2009-12-31,nrturnratio,7.432226,sz000725
2010-04-29,2010-03-31,nrturnratio,1.521445,sz000725
2010-08-28,2010-06-30,nrturnratio,3.207414,sz000725
2010-10-29,2010-09-30,nrturnratio,5.085548,sz000725
2011-04-26,2010-12-31,nrturnratio,6.527456,sz000725
2011-04-27,2011-03-31,nrturnratio,1.446314,sz000725
2011-08-30,2011-06-30,nrturnratio,3.225305,sz000725
2011-10-29,2011-09-30,nrturnratio,5.08822,sz000725
2012-04-27,2011-12-31,nrturnratio,6.66392,sz000725
2012-04-27,2012-03-31,nrturnratio,1.534002,sz000725
2012-08-29,2012-06-30,nrturnratio,3.231405,sz000725
2012-10-30,2012-09-30,nrturnratio,4.409559,sz000725
2013-04-23,2012-12-31,nrturnratio,6.644869,sz000725
2013-04-25,2013-03-31,nrturnratio,1.483209,sz000725
2013-08-20,2013-06-30,nrturnratio,3.077468,sz000725
2013-10-29,2013-09-30,nrturnratio,4.707284,sz000725
2014-04-22,2013-12-31,nrturnratio,6.719927,sz000725
2014-04-25,2014-03-31,nrturnratio,1.719216,sz000725
2014-08-30,2014-06-30,nrturnratio,3.229617,sz000725
2014-10-30,2014-09-30,nrturnratio,4.583542,sz000725
2015-04-21,2014-12-31,nrturnratio,6.418633,sz000725
2015-04-23,2015-03-31,nrturnratio,1.629996,sz000725
2015-08-25,2015-06-30,nrturnratio,3.279201,sz000725
2015-10-27,2015-09-30,nrturnratio,4.845461,sz000725
2016-04-26,2015-12-31,nrturnratio,6.567102,sz000725
2016-04-26,2016-03-31,nrturnratio,1.554846,sz000725
2016-08-30,2016-06-30,nrturnratio,2.79546,sz000725
2016-10-25,2016-09-30,nrturnratio,4.193161,sz000725
2017-04-25,2016-12-31,nrturnratio,5.65082,sz000725
2017-04-25,2017-03-31,nrturnratio,1.390149,sz000725
2017-08-29,2017-06-30,nrturnratio,2.69881,sz000725
2017-10-31,2017-09-30,nrturnratio,4.442985,sz000725
2018-04-24,2017-12-31,nrturnratio,5.916974,sz000725
2018-04-24,2018-03-31,nrturnratio,1.458066,sz000725
2018-08-28,2018-06-30,nrturnratio,2.645219,sz000725
